,adani,asian,axis,bajajauto,bajajfs,bajajfin,airtel,bpcl,britannia,cipla,coalind,divislab,drreddy,eichermot,gail,grasim,hcl,hdfc,hdfcbk,hdfclife,hero,hindalco,hindu,icici,indus,infy,ioc,itc,jsw,kotak,lt,mm,maruti,nestle,ntpc,ongc,powergrid,rel,sbilife,sbibk,shreecem,sunpharma,tatam,tatas,tcs,techm,titan,ultracem,upl,wit
2018-01-02,397.4,1142.75,559.5,3294.75,5101.1,1724.65,516.55,499.8,4656.05,607.8,270.05,1080.900024,2409.2,28670.15,494.35,1139.55,892.8,1703.25,1872.35,395.5,3743.85,271.9,1338.6,309.7,1643.95,1029.7,386.4,260.75,264.55,1003.2,1249.75,9554.05,752.9,7863.55,178.9,196.85,200.75,911.15,685.099976,303.25,18000.35,572.15,439.3,729.3,2631.2,513.95,845.15,4252.3,773.45,318.7
2018-01-03,407.65,1141.9,560.45,3241.05,5099.45,1715.3,518.2,494.9,4680.95,606.8,271.85,1099.400024,2339.0,28814.35,490.1,1127.2,897.3,1700.8,1852.65,385.649994,3755.2,276.5,1350.35,315.0,1630.25,1021.3,386.3,261.15,268.7,1000.1,1275.3,9416.6,754.9,7860.1,177.05,193.45,201.65,914.8,690.5,302.85,18099.55,569.05,433.9,734.95,2638.65,519.45,856.3,4301.95,775.8,309.95
2018-01-04,409.85,1172.05,559.9,3264.45,5062.55,1754.0,523.0,491.5,4626.4,616.75,277.8,1106.550049,2410.8,28570.75,496.7,1170.3,893.1,1703.2,1859.9,399.0,3738.9,279.8,1352.25,314.7,1646.6,1015.4,387.3,261.55,277.15,1000.4,1315.7,9386.25,756.0,7869.25,177.1,199.5,200.35,920.3,701.599976,308.5,17978.35,581.2,429.95,760.25,2657.1,522.55,892.9,4345.5,781.65,311.65
2018-01-05,423.8,1185.25,563.25,3279.85,5127.2,1814.5,540.0,487.7,4644.1,615.15,278.75,1107.650024,2473.4,29237.0,494.4,1214.2,900.05,1725.2,1863.6,407.0,3744.65,276.4,1356.55,312.9,1698.2,1012.0,383.85,262.9,285.1,1003.05,1314.9,9433.85,756.35,7856.75,177.5,198.45,201.25,923.25,701.950012,306.35,18964.5,578.75,431.6,770.7,2689.2,525.45,909.7,4395.8,774.2,309.55
2018-01-08,422.9,1182.0,565.45,3275.75,5221.25,1836.85,516.35,497.2,4693.75,615.05,287.45,1116.199951,2476.6,29197.4,497.4,1203.0,900.5,1740.95,1860.6,422.10000599999995,3786.75,276.15,1368.4,314.15,1719.9,1036.05,388.55,265.6,286.0,1006.1,1338.25,9448.95,759.9,7941.15,177.65,197.4,200.55,928.55,704.150024,305.8,19374.35,591.6,433.55,768.75,2714.4,536.3,926.1,4425.3,784.35,311.15
2018-01-09,421.1,1193.05,565.3,3243.5,5156.4,1819.5,509.8,496.1,4641.95,615.6,304.05,1089.300049,2457.8,28596.95,500.95,1237.5,893.85,1735.05,1863.7,435.5,3749.45,271.5,1361.3,312.6,1725.05,1041.35,392.4,270.55,284.0,1009.75,1332.75,9383.55,762.45,7779.25,176.7,197.0,201.0,940.95,717.25,304.3,19430.1,586.5,437.55,772.3,2709.0,533.85,932.95,4426.85,790.6,317.2
2018-01-10,423.45,1177.4,562.8,3207.4,5199.55,1802.2,506.4,494.3,4674.75,619.75,308.3,1079.300049,2425.8,28097.5,496.1,1235.5,915.85,1726.45,1864.2,429.25,3736.9,268.8,1365.8,312.0,1734.1,1052.25,389.55,269.4,282.8,1002.25,1323.75,9375.85,759.85,7846.65,173.95,197.9,199.85,942.35,711.599976,301.1,19501.8,585.1,433.3,772.85,2806.6,542.1,917.6,4403.2,778.85,326.7
2018-01-11,425.5,1188.95,558.75,3193.4,5146.4,1780.35,514.75,492.4,4721.55,612.35,308.1,1101.550049,2425.35,28444.7,495.5,1244.0,916.9,1741.35,1872.55,446.700012,3705.65,267.75,1378.65,309.5,1700.3,1075.8,388.9,269.8,282.55,1017.65,1323.55,9339.8,766.65,7874.3,173.5,197.9,197.85,937.75,703.799988,302.2,19536.1,587.95,434.75,770.95,2790.5,551.7,906.9,4406.1,786.2,321.1
2018-01-12,423.3,1189.7,555.1,3175.35,5057.3,1770.1,509.55,489.9,4708.3,612.1,309.0,1093.800049,2447.65,28649.75,501.15,1221.65,925.9,1760.95,1865.3,455.950012,3687.35,268.85,1374.0,317.7,1705.25,1078.45,389.05,267.55,286.8,1023.35,1329.15,9459.15,767.5,7789.25,172.5,200.75,196.35,949.0,701.75,302.25,18872.3,583.45,437.1,770.25,2776.35,550.75,903.8,4405.5,775.35,318.8
2018-01-15,420.6,1204.05,560.55,3166.0,5010.35,1738.15,504.5,487.2,4719.85,610.25,305.9,1078.349976,2431.75,27981.5,489.25,1242.85,909.25,1871.2,1897.75,474.85000599999995,3628.8,266.7,1367.2,329.3,1682.4,1081.15,390.85,267.6,285.0,1038.35,1325.95,9358.45,759.2,7757.95,172.95,196.6,199.3,949.15,716.75,302.6,19081.5,576.45,432.35,783.5,2746.1,543.75,918.25,4520.15,774.35,315.0
